"airport_id","airport_seq_id","city_market_id","airport_code","city_name","state_nm","state_abr","state_fips","wac"
14635,1463502,31714,"RSW","Fort Myers, FL","Florida","FL",12,33
12191,1219102,31453,"HOU","Houston, TX","Texas","TX",48,74
14576,1457604,34576,"ROC","Rochester, NY","New York","NY",36,22
11775,1177502,31775,"FSD","Sioux Falls, SD","South Dakota","SD",46,67
12389,1238902,32389,"ISN","Williston, ND","North Dakota","ND",38,66
11719,1171902,31719,"FNL","Fort Collins/Loveland, CO","Colorado","CO",8,82
10713,1071302,30713,"BOI","Boise, ID","Idaho","ID",16,83
10747,1074702,30747,"BRO","Brownsville, TX","Texas","TX",48,74
10257,1025702,30257,"ALB","Albany, NY","New York","NY",36,22
14698,1469802,34236,"SBP","San Luis Obispo, CA","California","CA",6,91
13200,1320002,33200,"MCK","McCook, NE","Nebraska","NE",31,65
10423,1042302,30423,"AUS","Austin, TX","Texas","TX",48,74
10849,1084903,30849,"BZN","Bozeman, MT","Montana","MT",30,84
12899,1289902,32899,"LBF","North Platte, NE","Nebraska","NE",31,65
11884,1188402,31884,"GEG","Spokane, WA","Washington","WA",53,93
13244,1324402,33244,"MEM","Memphis, TN","Tennessee","TN",47,54
14831,1483104,32457,"SJC","San Jose, CA","California","CA",6,91
11563,1156303,31563,"ENV","Wendover, UT","Utah","UT",49,87
11193,1119302,33105,"CVG","Cincinnati, OH","Kentucky","KY",21,52
14524,1452401,34524,"RIC","Richmond, VA","Virginia","VA",51,38
14262,1426204,34262,"PSP","Palm Springs, CA","California","CA",6,91
15376,1537602,30436,"TUS","Tucson, AZ","Arizona","AZ",4,81
12278,1227803,30928,"ICT","Wichita, KS","Kansas","KS",20,62
13158,1315803,33158,"MAF","Midland/Odessa, TX","Texas","TX",48,74
10221,1022103,30221,"AIA","Alliance, NE","Nebraska","NE",31,65
15582,1558202,35582,"VEL","Vernal, UT","Utah","UT",49,87
11092,1109202,31092,"CNY","Moab, UT","Utah","UT",49,87
10590,1059004,30590,"IFP","Bullhead City, AZ","Arizona","AZ",4,81
12888,1288802,32888,"LAR","Laramie, WY","Wyoming","WY",56,88
14570,1457002,34570,"RNO","Reno, NV","Nevada","NV",32,85
10925,1092502,30925,"CDR","Chadron, NE","Nebraska","NE",31,65
12758,1275803,32758,"KOA","Kona, HI","Hawaii","HI",15,2
10397,1039705,30397,"ATL","Atlanta, GA","Georgia","GA",13,34
13851,1385103,33851,"OKC","Oklahoma City, OK","Oklahoma","OK",40,73
12889,1288903,32211,"LAS","Las Vegas, NV","Nevada","NV",32,85
10325,1032504,30325,"APA","Denver, CO","Colorado","CO",8,82
11865,1186502,31865,"GCC","Gillette, WY","Wyoming","WY",56,88
11292,1129202,30325,"DEN","Denver, CO","Colorado","CO",8,82
13341,1334102,33198,"MKC","Kansas City, MO","Missouri","MO",29,64
10372,1037203,30372,"ASE","Aspen, CO","Colorado","CO",8,82
15370,1537002,34653,"TUL","Tulsa, OK","Oklahoma","OK",40,73
13367,1336703,33367,"MLI","Moline, IL","Illinois","IL",17,41
14457,1445702,34457,"RAP","Rapid City, SD","South Dakota","SD",46,67
13303,1330303,32467,"MIA","Miami, FL","Florida","FL",12,33
12156,1215603,32156,"HLN","Helena, MT","Montana","MT",30,84
14100,1410002,34100,"PHL","Philadelphia, PA","Pennsylvania","PA",42,23
11986,1198603,31986,"GRR","Grand Rapids, MI","Michigan","MI",26,43
10140,1014003,30140,"ABQ","Albuquerque, NM","New Mexico","NM",35,86
13495,1349503,33495,"MSY","New Orleans, LA","Louisiana","LA",22,72
15919,1591902,31834,"XNA","Fayetteville, AR","Arkansas","AR",5,71
11921,1192102,31921,"GJT","Grand Junction, CO","Colorado","CO",8,82
10800,1080003,32575,"BUR","Burbank, CA","California","CA",6,91
10299,1029904,30299,"ANC","Anchorage, AK","Alaska","AK",2,1
12982,1298202,32982,"LIH","Lihue, HI","Hawaii","HI",15,2
14771,1477102,32457,"SFO","San Francisco, CA","California","CA",6,91
11122,1112203,31122,"CPR","Casper, WY","Wyoming","WY",56,88
13487,1348702,31650,"MSP","Minneapolis, MN","Minnesota","MN",27,63
14792,1479201,34792,"SGR","Sugar Land, TX","Texas","TX",48,74
11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","Texas","TX",48,74
12892,1289205,32575,"LAX","Los Angeles, CA","California","CA",6,91
10558,1055803,30558,"BFF","Scottsbluff, NE","Nebraska","NE",31,65
12902,1290203,32902,"LBL","Liberal, KS","Kansas","KS",20,62
12266,1226603,31453,"IAH","Houston, TX","Texas","TX",48,74
14489,1448902,34489,"RDM","Bend/Redmond, OR","Oregon","OR",41,92
14877,1487704,34877,"SLN","Salina, KS","Kansas","KS",20,62
14893,1489302,33192,"SMF","Sacramento, CA","California","CA",6,91
11995,1199502,31995,"GSO","Greensboro/High Point, NC","North Carolina","NC",37,36
12896,1289605,32896,"LBB","Lubbock, TX","Texas","TX",48,74
11278,1127803,30852,"DCA","Washington, DC","Virginia","VA",51,38
11648,1164802,31648,"FCA","Kalispell, MT","Montana","MT",30,84
13485,1348502,33485,"MSN","Madison, WI","Wisconsin","WI",55,45
11109,1110902,30189,"COS","Colorado Springs, CO","Colorado","CO",8,82
10620,1062002,30620,"BIL","Billings, MT","Montana","MT",30,84
14794,1479403,34794,"SGU","St. George, UT","Utah","UT",49,87
11711,1171102,31711,"FMN","Farmington, NM","New Mexico","NM",35,86
12478,1247803,31703,"JFK","New York, NY","New York","NY",36,22
12173,1217302,32134,"HNL","Honolulu, HI","Hawaii","HI",15,2
13342,1334205,33342,"MKE","Milwaukee, WI","Wisconsin","WI",55,45
13830,1383002,33830,"OGG","Kahului, HI","Hawaii","HI",15,2
14747,1474703,30559,"SEA","Seattle, WA","Washington","WA",53,93
12441,1244102,32441,"JAC","Jackson, WY","Wyoming","WY",56,88
12217,1221702,30255,"HSV","Huntsville, AL","Alabama","AL",1,51
13871,1387102,33316,"OMA","Omaha, NE","Nebraska","NE",31,65
14512,1451202,34512,"RFD","Rockford, IL","Illinois","IL",17,41
13796,1379604,32457,"OAK","Oakland, CA","California","CA",6,91
14057,1405702,34057,"PDX","Portland, OR","Oregon","OR",41,92
11315,1131502,31315,"DIK","Dickinson, ND","North Dakota","ND",38,66
10561,1056103,30561,"BFL","Bakersfield, CA","California","CA",6,91
14908,1490803,32575,"SNA","Santa Ana, CA","California","CA",6,91
10627,1062702,30627,"BIS","Bismarck/Mandan, ND","North Dakota","ND",38,66
11540,1154003,30615,"ELP","El Paso, TX","Texas","TX",48,74
12339,1233904,32337,"IND","Indianapolis, IN","Indiana","IN",18,42
13891,1389101,32575,"ONT","Ontario, CA","California","CA",6,91
11140,1114006,31140,"CRP","Corpus Christi, TX","Texas","TX",48,74
10559,1055902,30559,"BFI","Seattle, WA","Washington","WA",53,93
15570,1557001,35570,"VCV","Victorville, CA","California","CA",6,91
14081,1408102,34081,"PGA","Page, AZ","Arizona","AZ",4,81
12891,1289102,32891,"LAW","Lawton/Fort Sill, OK","Oklahoma","OK",40,73
11481,1148102,31481,"ECP","Panama City, FL","Florida","FL",12,33
10792,1079204,30792,"BUF","Buffalo, NY","New York","NY",36,22
12448,1244805,32448,"JAN","Jackson/Vicksburg, MS","Mississippi","MS",28,53
14275,1427502,34275,"PTK","Pontiac, MI","Michigan","MI",26,43
11973,1197302,31973,"GPT","Gulfport/Biloxi, MS","Mississippi","MS",28,53
11996,1199603,31871,"GSP","Greer, SC","South Carolina","SC",45,37
16091,1609103,31295,"YIP","Detroit, MI","Michigan","MI",26,43
15041,1504102,35041,"SUN","Sun Valley/Hailey/Ketchum, ID","Idaho","ID",16,83
10409,1040903,30409,"ATY","Watertown, SD","South Dakota","SD",46,67
