"origin_city","origin_state","airline_name"
"Chicago","Illinois","Kalitta Charters II"
"Chicago","Illinois","SkyWest Airlines Inc."
"Chicago","Illinois","Southwest Airlines Co."
"Chicago","Illinois","Spirit Air Lines"
"Chicago","Illinois","United Air Lines Inc."
"Cincinnati","Kentucky","Allegiant Air"
"Cincinnati","Kentucky","Delta Air Lines Inc."
"Cincinnati","Kentucky","Endeavor Air Inc."
"Cincinnati","Kentucky","Frontier Airlines Inc."
"Cincinnati","Kentucky","GoJet Airlines LLC d/b/a United Express"
"Cincinnati","Kentucky","SkyWest Airlines Inc."
"Cincinnati","Kentucky","Southern Air Inc."
"Cincinnati","Kentucky","United Air Lines Inc."
"Columbus","Ohio","Frontier Airlines Inc."
"Columbus","Ohio","Jet Aviation Flight Services, Inc."
"Columbus","Ohio","Republic Airlines"
"Columbus","Ohio","SkyWest Airlines Inc."
"Columbus","Ohio","Southwest Airlines Co."
"Columbus","Ohio","United Air Lines Inc."
"Dallas","Texas","Southwest Airlines Co."
"Dallas/Fort Worth","Texas","American Airlines Inc."
"Dallas/Fort Worth","Texas","Federal Express Corporation"
"Dallas/Fort Worth","Texas","Frontier Airlines Inc."
"Dallas/Fort Worth","Texas","GoJet Airlines LLC d/b/a United Express"
"Dallas/Fort Worth","Texas","Republic Airlines"
"Dallas/Fort Worth","Texas","SkyWest Airlines Inc."
"Dallas/Fort Worth","Texas","Spirit Air Lines"
"Dallas/Fort Worth","Texas","United Air Lines Inc."
"Dayton","Ohio","GoJet Airlines LLC d/b/a United Express"
"Dayton","Ohio","SkyWest Airlines Inc."
"Des Moines","Iowa","Frontier Airlines Inc."
"Des Moines","Iowa","GoJet Airlines LLC d/b/a United Express"
"Des Moines","Iowa","Republic Airlines"
"Des Moines","Iowa","SkyWest Airlines Inc."
"Des Moines","Iowa","Tradewind Aviation"
"Des Moines","Iowa","Trans States Airlines"
"Des Moines","Iowa","United Air Lines Inc."
"Detroit","Michigan","Delta Air Lines Inc."
"Detroit","Michigan","Frontier Airlines Inc."
"Detroit","Michigan","Southwest Airlines Co."
"Detroit","Michigan","Spirit Air Lines"
"Detroit","Michigan","United Air Lines Inc."
"Devils Lake","North Dakota","SkyWest Airlines Inc."
"El Paso","Texas","Republic Airlines"
"El Paso","Texas","SkyWest Airlines Inc."
"El Paso","Texas","Trans States Airlines"
"Eugene","Oregon","SkyWest Airlines Inc."
"Eugene","Oregon","United Air Lines Inc."
"Fargo","North Dakota","SkyWest Airlines Inc."
"Fargo","North Dakota","Trans States Airlines"
"Fayetteville","Arkansas","Republic Airlines"
"Fayetteville","Arkansas","SkyWest Airlines Inc."
"Fayetteville","Arkansas","Trans States Airlines"
"Fresno","California","SkyWest Airlines Inc."
"Grand Rapids","Michigan","GoJet Airlines LLC d/b/a United Express"
"Grand Rapids","Michigan","SkyWest Airlines Inc."
"Grand Rapids","Michigan","Southwest Airlines Co."
"Grand Rapids","Michigan","Trans States Airlines"
"Grand Rapids","Michigan","United Air Lines Inc."
"Great Falls","Montana","SkyWest Airlines Inc."
"Great Falls","Montana","Trans States Airlines"
"Helena","Montana","SkyWest Airlines Inc."
"Houston","Texas","ExpressJet Airlines Inc."
"Houston","Texas","Frontier Airlines Inc."
"Houston","Texas","SkyWest Airlines Inc."
"Houston","Texas","Southwest Airlines Co."
"Houston","Texas","Spirit Air Lines"
"Houston","Texas","United Air Lines Inc."
"Huntsville","Alabama","Trans States Airlines"
"Indianapolis","Indiana","Federal Express Corporation"
"Indianapolis","Indiana","Frontier Airlines Inc."
"Indianapolis","Indiana","GoJet Airlines LLC d/b/a United Express"
"Indianapolis","Indiana","Republic Airlines"
"Indianapolis","Indiana","Southwest Airlines Co."
"Indianapolis","Indiana","United Air Lines Inc."
"Jamestown","North Dakota","SkyWest Airlines Inc."
"Kalispell","Montana","SkyWest Airlines Inc."
"Kalispell","Montana","United Air Lines Inc."
"Kansas City","Missouri","Federal Express Corporation"
"Kansas City","Missouri","Frontier Airlines Inc."
"Kansas City","Missouri","GoJet Airlines LLC d/b/a United Express"
"Kansas City","Missouri","Republic Airlines"
"Kansas City","Missouri","SkyWest Airlines Inc."
"Kansas City","Missouri","Southwest Airlines Co."
"Kansas City","Missouri","Trans States Airlines"
"Kansas City","Missouri","United Air Lines Inc."
"Knoxville","Tennessee","Frontier Airlines Inc."
"Knoxville","Tennessee","GoJet Airlines LLC d/b/a United Express"
"Knoxville","Tennessee","Trans States Airlines"
"Las Vegas","Nevada","Frontier Airlines Inc."
"Las Vegas","Nevada","Southwest Airlines Co."
"Las Vegas","Nevada","Spirit Air Lines"
"Las Vegas","Nevada","United Air Lines Inc."
"Little Rock","Arkansas","SkyWest Airlines Inc."
"Little Rock","Arkansas","Trans States Airlines"
"Long Beach","California","JetBlue Airways"
"Long Beach","California","Southwest Airlines Co."
"Los Angeles","California","American Airlines Inc."
"Los Angeles","California","Frontier Airlines Inc."
"Los Angeles","California","SkyWest Airlines Inc."
"Los Angeles","California","Southwest Airlines Co."
"Los Angeles","California","Spirit Air Lines"
"Los Angeles","California","United Air Lines Inc."
"Louisville","Kentucky","GoJet Airlines LLC d/b/a United Express"
"Louisville","Kentucky","Republic Airlines"
"Louisville","Kentucky","Southwest Airlines Co."
"Louisville","Kentucky","Trans States Airlines"
"Louisville","Kentucky","United Parcel Service"
"Madison","Wisconsin","Frontier Airlines Inc."
"Madison","Wisconsin","United Air Lines Inc."
"Medford","Oregon","SkyWest Airlines Inc."
"Medford","Oregon","United Air Lines Inc."
"Memphis","Tennessee","Federal Express Corporation"
"Memphis","Tennessee","Frontier Airlines Inc."
"Memphis","Tennessee","GoJet Airlines LLC d/b/a United Express"
"Memphis","Tennessee","Republic Airlines"
"Memphis","Tennessee","SkyWest Airlines Inc."
"Midland/Odessa","Texas","Republic Airlines"
"Midland/Odessa","Texas","SkyWest Airlines Inc."
"Milwaukee","Wisconsin","Frontier Airlines Inc."
"Milwaukee","Wisconsin","Southwest Airlines Co."
"Milwaukee","Wisconsin","United Air Lines Inc."
"Minneapolis","Minnesota","Delta Air Lines Inc."
"Minneapolis","Minnesota","Frontier Airlines Inc."
"Minneapolis","Minnesota","GoJet Airlines LLC d/b/a United Express"
"Minneapolis","Minnesota","Republic Airlines"
"Minneapolis","Minnesota","SkyWest Airlines Inc."
"Minneapolis","Minnesota","Southwest Airlines Co."
"Minneapolis","Minnesota","Spirit Air Lines"
"Minneapolis","Minnesota","Sun Country Airlines d/b/a MN Airlines"
"Minneapolis","Minnesota","United Air Lines Inc."
"Minot","North Dakota","SkyWest Airlines Inc."
"Missoula","Montana","Frontier Airlines Inc."
"Missoula","Montana","GoJet Airlines LLC d/b/a United Express"
"Missoula","Montana","SkyWest Airlines Inc."
"Missoula","Montana","Trans States Airlines"
"Moline","Illinois","GoJet Airlines LLC d/b/a United Express"
"Moline","Illinois","SkyWest Airlines Inc."
"Moline","Illinois","Trans States Airlines"
"Nashville","Tennessee","Frontier Airlines Inc."
"Nashville","Tennessee","Republic Airlines"
"Nashville","Tennessee","SkyWest Airlines Inc."
"Nashville","Tennessee","Southwest Airlines Co."
"New Orleans","Louisiana","Frontier Airlines Inc."
"New Orleans","Louisiana","Republic Airlines"
"New Orleans","Louisiana","Southwest Airlines Co."
"New Orleans","Louisiana","United Air Lines Inc."
"North Bend/Coos Bay","Oregon","SkyWest Airlines Inc."
"Oakland","California","Federal Express Corporation"
"Oakland","California","Southwest Airlines Co."
"Ontario","California","SkyWest Airlines Inc."
"Ontario","California","Southwest Airlines Co."
"Ontario","California","United Air Lines Inc."
"Ontario","California","United Parcel Service"
"Palm Springs","California","SkyWest Airlines Inc."
"Palm Springs","California","United Air Lines Inc."
"Pasco/Kennewick/Richland","Washington","SkyWest Airlines Inc."
"Pensacola","Florida","Southwest Airlines Co."
"Phoenix","Arizona","American Airlines Inc."
"Phoenix","Arizona","Frontier Airlines Inc."
"Phoenix","Arizona","SkyWest Airlines Inc."
"Phoenix","Arizona","Southwest Airlines Co."
"Phoenix","Arizona","Swift Air, LLC"
"Phoenix","Arizona","United Air Lines Inc."
"Portland","Oregon","Frontier Airlines Inc."
"Portland","Oregon","SkyWest Airlines Inc."
"Portland","Oregon","Southwest Airlines Co."
"Portland","Oregon","United Air Lines Inc."
"Reno","Nevada","CFM Inc d/b/a Contour Airlines"
"Reno","Nevada","Southwest Airlines Co."
"Reno","Nevada","United Air Lines Inc."
"Rockford","Illinois","United Parcel Service"
"Sacramento","California","SkyWest Airlines Inc."
"Sacramento","California","Southwest Airlines Co."
"Sacramento","California","United Air Lines Inc."
"San Antonio","Texas","Frontier Airlines Inc."
"San Antonio","Texas","GoJet Airlines LLC d/b/a United Express"
"San Antonio","Texas","Republic Airlines"
"San Antonio","Texas","SkyWest Airlines Inc."
"San Antonio","Texas","Southwest Airlines Co."
"San Antonio","Texas","United Air Lines Inc."
"San Diego","California","Frontier Airlines Inc."
"San Diego","California","SkyWest Airlines Inc."
"San Diego","California","Southwest Airlines Co."
"San Diego","California","Spirit Air Lines"
"San Diego","California","United Air Lines Inc."
"San Francisco","California","American Airlines Inc."
"San Francisco","California","Delta Air Lines Inc."
"San Francisco","California","Frontier Airlines Inc."
"San Francisco","California","Southwest Airlines Co."
"San Francisco","California","United Air Lines Inc."
"San Francisco","California","Virgin America"
"San Jose","California","SkyWest Airlines Inc."
"San Jose","California","Southwest Airlines Co."
"San Jose","California","United Air Lines Inc."
"San Luis Obispo","California","SkyWest Airlines Inc."
"Santa Ana","California","Frontier Airlines Inc."
"Santa Ana","California","SkyWest Airlines Inc."
"Santa Ana","California","Southwest Airlines Co."
"Santa Ana","California","United Air Lines Inc."
"Santa Barbara","California","SkyWest Airlines Inc."
"Santa Barbara","California","United Air Lines Inc."
"Seattle","Washington","Alaska Airlines Inc."
"Seattle","Washington","Delta Air Lines Inc."
"Seattle","Washington","Frontier Airlines Inc."
"Seattle","Washington","SkyWest Airlines Inc."
"Seattle","Washington","Southwest Airlines Co."
"Seattle","Washington","United Air Lines Inc."
"Shreveport","Louisiana","SkyWest Airlines Inc."
"Shreveport","Louisiana","Trans States Airlines"
"Spokane","Washington","SkyWest Airlines Inc."
"Spokane","Washington","Southwest Airlines Co."
"Spokane","Washington","United Air Lines Inc."
"Springfield","Missouri","GoJet Airlines LLC d/b/a United Express"
"Springfield","Missouri","SkyWest Airlines Inc."
"Springfield","Missouri","Trans States Airlines"
"St. George","Utah","SkyWest Airlines Inc."
"St. Louis","Missouri","Frontier Airlines Inc."
"St. Louis","Missouri","GoJet Airlines LLC d/b/a United Express"
"St. Louis","Missouri","Republic Airlines"
"St. Louis","Missouri","SkyWest Airlines Inc."
"St. Louis","Missouri","Southwest Airlines Co."
"St. Louis","Missouri","Trans States Airlines"
"St. Louis","Missouri","United Air Lines Inc."
"Tucson","Arizona","SkyWest Airlines Inc."
"Tucson","Arizona","Southwest Airlines Co."
"Tucson","Arizona","Trans States Airlines"
"Tucson","Arizona","United Air Lines Inc."
"Tulsa","Oklahoma","GoJet Airlines LLC d/b/a United Express"
"Tulsa","Oklahoma","Republic Airlines"
"Tulsa","Oklahoma","SkyWest Airlines Inc."
"Tulsa","Oklahoma","Southwest Airlines Co."
"Tulsa","Oklahoma","Swift Air, LLC"
"Tulsa","Oklahoma","Trans States Airlines"
"Tulsa","Oklahoma","United Air Lines Inc."
"Williston","North Dakota","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways"
"Williston","North Dakota","SkyWest Airlines Inc."
"Williston","North Dakota","Trans States Airlines"
