"origin_city","origin_state","colorado_dest_city","airline","passengers"
"Scottsbluff","Nebraska","Denver","United Air Lines Inc.","126"
"Sacramento","California","Denver","SkyWest Airlines Inc.","3375"
"Baltimore","Maryland","Denver","Southwest Airlines Co.","24485"
"Omaha","Nebraska","Denver","United Air Lines Inc.","11304"
"Ontario","California","Denver","United Air Lines Inc.","6768"
"Dodge City","Kansas","Denver","Peninsula Airways Inc.","116"
"Phoenix","Arizona","Montrose/Delta","Mesa Airlines Inc.","1213"
"Rapid City","South Dakota","Denver","GoJet Airlines LLC d/b/a United Express","2012"
"Des Moines","Iowa","Denver","United Air Lines Inc.","8420"
"Louisville","Kentucky","Denver","Southwest Airlines Co.","4089"
"Seattle","Washington","Colorado Springs","Alaska Airlines Inc.","156"
"San Diego","California","Denver","Southwest Airlines Co.","26001"
"Houston","Texas","Colorado Springs","SkyWest Airlines Inc.","1821"
"Houston","Texas","Montrose/Delta","ExpressJet Airlines Inc.","1096"
"Helena","Montana","Denver","SkyWest Airlines Inc.","1230"
"Reno","Nevada","Denver","Southwest Airlines Co.","8416"
"Grand Rapids","Michigan","Denver","United Air Lines Inc.","2566"
"Houston","Texas","Gunnison","ExpressJet Airlines Inc.","49"
"Boise","Idaho","Denver","United Air Lines Inc.","8836"
"Burbank","California","Denver","Southwest Airlines Co.","10876"
"Seattle","Washington","Denver","Frontier Airlines Inc.","11049"
"Memphis","Tennessee","Denver","Republic Airlines","1185"
"San Jose","California","Denver","Southwest Airlines Co.","15633"
"Detroit","Michigan","Denver","Frontier Airlines Inc.","5933"
"Casper","Wyoming","Denver","Delta Air Lines Inc.","103"
"Salt Lake City","Utah","Denver","United Air Lines Inc.","3454"
"San Francisco","California","Denver","American Airlines Inc.","150"
"Grand Rapids","Michigan","Denver","GoJet Airlines LLC d/b/a United Express","55"
"Dayton","Ohio","Denver","GoJet Airlines LLC d/b/a United Express","2229"
"Idaho Falls","Idaho","Denver","SkyWest Airlines Inc.","3407"
"Rock Springs","Wyoming","Denver","SkyWest Airlines Inc.","1440"
"Santa Barbara","California","Denver","United Air Lines Inc.","2146"
"Cody","Wyoming","Denver","SkyWest Airlines Inc.","35"
"Houston","Texas","Colorado Springs","ExpressJet Airlines Inc.","2193"
"Atlanta","Georgia","Denver","Delta Air Lines Inc.","38405"
"Santa Ana","California","Denver","United Air Lines Inc.","15297"
"Des Moines","Iowa","Denver","GoJet Airlines LLC d/b/a United Express","122"
"Dallas/Fort Worth","Texas","Denver","Federal Express Corporation","0"
"Eugene","Oregon","Denver","SkyWest Airlines Inc.","1828"
"Los Angeles","California","Denver","Southwest Airlines Co.","32137"
"Chicago","Illinois","Denver","Southwest Airlines Co.","39271"
"Las Vegas","Nevada","Grand Junction","Allegiant Air","1009"
"Tampa","Florida","Denver","Frontier Airlines Inc.","4035"
"Miami","Florida","Denver","Frontier Airlines Inc.","4934"
"Fort Lauderdale","Florida","Denver","Southwest Airlines Co.","5885"
"Greensboro/High Point","North Carolina","Denver","Frontier Airlines Inc.","1862"
"Las Vegas","Nevada","Denver","Spirit Air Lines","9627"
"Fresno","California","Colorado Springs","SkyWest Airlines Inc.","0"
"Phoenix","Arizona","Denver","American Airlines Inc.","18141"
"Tucson","Arizona","Denver","Trans States Airlines","139"
"Dallas/Fort Worth","Texas","Aspen","SkyWest Airlines Inc.","1587"
"Wichita","Kansas","Denver","GoJet Airlines LLC d/b/a United Express","1157"
"Nashville","Tennessee","Denver","Republic Airlines","525"
"Bozeman","Montana","Denver","GoJet Airlines LLC d/b/a United Express","177"
"Bullhead City","Arizona","Fort Collins/Loveland","Sun Country Airlines d/b/a MN Airlines","148"
"New York","New York","Denver","Southwest Airlines Co.","10491"
"Phoenix","Arizona","Denver","SkyWest Airlines Inc.","1693"
"St. Louis","Missouri","Denver","United Air Lines Inc.","3219"
"Bullhead City","Arizona","Denver","Sun Country Airlines d/b/a MN Airlines","129"
"Bullhead City","Arizona","Pueblo","Sun Country Airlines d/b/a MN Airlines","156"
"Wichita","Kansas","Denver","United Air Lines Inc.","6081"
"Midland/Odessa","Texas","Denver","Republic Airlines","1269"
"Kearney","Nebraska","Denver","Peninsula Airways Inc.","600"
"St. Louis","Missouri","Denver","GoJet Airlines LLC d/b/a United Express","3905"
"Burbank","California","Eagle","Avjet Corporation","4"
"Bozeman","Montana","Denver","United Air Lines Inc.","8801"
"Baltimore","Maryland","Denver","United Air Lines Inc.","9462"
"Omaha","Nebraska","Denver","Southwest Airlines Co.","11113"
"Ontario","California","Denver","Southwest Airlines Co.","8769"
"Phoenix","Arizona","Cortez","Boutique Air","185"
"Minneapolis","Minnesota","Denver","Frontier Airlines Inc.","8283"
"Columbus","Ohio","Denver","Republic Airlines","1554"
"Jackson","Wyoming","Denver","SkyWest Airlines Inc.","34"
"Portland","Oregon","Denver","United Air Lines Inc.","18981"
"Billings","Montana","Denver","United Parcel Service","0"
"San Diego","California","Denver","United Air Lines Inc.","19963"
"Albuquerque","New Mexico","Denver","Republic Airlines","1423"
"Kansas City","Missouri","Denver","Federal Express Corporation","0"
"Pierre","South Dakota","Denver","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","1858"
"Dallas/Fort Worth","Texas","Colorado Springs","American Airlines Inc.","14678"
"Devils Lake","North Dakota","Denver","SkyWest Airlines Inc.","779"
"San Francisco","California","Denver","Frontier Airlines Inc.","10251"
"Cedar Rapids/Iowa City","Iowa","Denver","United Air Lines Inc.","4345"
"Santa Fe","New Mexico","Denver","Trans States Airlines","2625"
"San Jose","California","Denver","United Air Lines Inc.","8644"
"Reno","Nevada","Denver","United Air Lines Inc.","9802"
"Grand Rapids","Michigan","Denver","Southwest Airlines Co.","3294"
"Oklahoma City","Oklahoma","Denver","Delta Air Lines Inc.","156"
"Boise","Idaho","Denver","Southwest Airlines Co.","8819"
"Burbank","California","Denver","United Air Lines Inc.","963"
"Dallas/Fort Worth","Texas","Colorado Springs","SkyWest Airlines Inc.","0"
"San Francisco","California","Denver","Virgin America","11176"
"Oakland","California","Denver","Southwest Airlines Co.","19859"
"Moline","Illinois","Denver","GoJet Airlines LLC d/b/a United Express","166"
"Seattle","Washington","Denver","SkyWest Airlines Inc.","7063"
"Salt Lake City","Utah","Denver","Southwest Airlines Co.","21932"
"Tucson","Arizona","Denver","SkyWest Airlines Inc.","4792"
"Los Angeles","California","Denver","United Air Lines Inc.","37449"
"Chicago","Illinois","Denver","United Air Lines Inc.","48868"
"Santa Ana","California","Denver","Southwest Airlines Co.","18540"
"Louisville","Kentucky","Denver","GoJet Airlines LLC d/b/a United Express","199"
"Louisville","Kentucky","Denver","United Parcel Service","0"
"Medford","Oregon","Denver","United Air Lines Inc.","2740"
"Memphis","Tennessee","Grand Junction","Federal Express Corporation","0"
"Springfield","Missouri","Denver","SkyWest Airlines Inc.","2000"
"Salt Lake City","Utah","Denver","Republic Airlines","4599"
"Shreveport","Louisiana","Denver","SkyWest Airlines Inc.","1034"
"Sioux Falls","South Dakota","Denver","SkyWest Airlines Inc.","2913"
"Fresno","California","Denver","SkyWest Airlines Inc.","5639"
"Memphis","Tennessee","Denver","GoJet Airlines LLC d/b/a United Express","1693"
"Washington","Virginia","Denver","Frontier Airlines Inc.","18980"
"Orlando","Florida","Denver","American Airlines Inc.","154"
"Milwaukee","Wisconsin","Denver","United Air Lines Inc.","7828"
"Casper","Wyoming","Denver","SkyWest Airlines Inc.","48"
"Bullhead City","Arizona","Montrose/Delta","Sun Country Airlines d/b/a MN Airlines","93"
"Lubbock","Texas","Denver","SkyWest Airlines Inc.","90"
"San Antonio","Texas","Denver","Frontier Airlines Inc.","4280"
"Dallas/Fort Worth","Texas","Grand Junction","Envoy Air","5376"
"El Paso","Texas","Denver","Republic Airlines","242"
"Philadelphia","Pennsylvania","Denver","Frontier Airlines Inc.","9196"
"Charlotte","North Carolina","Denver","Frontier Airlines Inc.","4265"
"Des Moines","Iowa","Denver","Republic Airlines","1128"
"Atlanta","Georgia","Denver","SkyWest Airlines Inc.","2027"
"Boston","Massachusetts","Denver","JetBlue Airways","7738"
"San Francisco","California","Denver","Delta Air Lines Inc.","61"
"Albuquerque","New Mexico","Denver","Southwest Airlines Co.","11383"
"Pittsburgh","Pennsylvania","Denver","Frontier Airlines Inc.","4543"
"Salt Lake City","Utah","Aspen","Avjet Corporation","2"
"Cincinnati","Kentucky","Denver","United Air Lines Inc.","550"
"Columbus","Ohio","Denver","Southwest Airlines Co.","8200"
"Austin","Texas","Denver","GoJet Airlines LLC d/b/a United Express","1961"
"Casper","Wyoming","Denver","Trans States Airlines","2116"
"Omaha","Nebraska","Denver","Republic Airlines","206"
"Rochester","New York","Denver","Swift Air, LLC","0"
"Hartford","Connecticut","Denver","Miami Air International","0"
"Dallas/Fort Worth","Texas","Denver","SkyWest Airlines Inc.","1359"
"Lubbock","Texas","Denver","Trans States Airlines","2259"
"Kansas City","Missouri","Denver","Frontier Airlines Inc.","5574"
"Minneapolis","Minnesota","Denver","Delta Air Lines Inc.","26874"
"Cleveland","Ohio","Denver","Frontier Airlines Inc.","5709"
"San Francisco","California","Colorado Springs","Frontier Airlines Inc.","905"
"Dallas/Fort Worth","Texas","Denver","American Airlines Inc.","44822"
"CONCORD","North Carolina","Eagle","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","0"
"Indianapolis","Indiana","Denver","United Air Lines Inc.","8063"
"Laramie","Wyoming","Denver","SkyWest Airlines Inc.","1302"
"Tulsa","Oklahoma","Denver","GoJet Airlines LLC d/b/a United Express","1059"
"Houston","Texas","Denver","Frontier Airlines Inc.","12796"
"Tulsa","Oklahoma","Denver","United Air Lines Inc.","3561"
"Fort Lauderdale","Florida","Denver","Spirit Air Lines","5583"
"Indianapolis","Indiana","Denver","GoJet Airlines LLC d/b/a United Express","328"
"Palm Springs","California","Denver","United Air Lines Inc.","1556"
"Los Angeles","California","Grand Junction","Allegiant Air","1184"
"Nashville","Tennessee","Denver","Southwest Airlines Co.","20729"
"Las Vegas","Nevada","Denver","Southwest Airlines Co.","35539"
"Austin","Texas","Denver","United Air Lines Inc.","8668"
"Billings","Montana","Denver","United Air Lines Inc.","7712"
"Chicago","Illinois","Montrose/Delta","GoJet Airlines LLC d/b/a United Express","332"
"Springfield","Missouri","Denver","Trans States Airlines","520"
"Salt Lake City","Utah","Grand Junction","SkyWest Airlines Inc.","3801"
"Shreveport","Louisiana","Denver","Trans States Airlines","92"
"Cincinnati","Kentucky","Denver","GoJet Airlines LLC d/b/a United Express","1602"
"Sioux Falls","South Dakota","Denver","Trans States Airlines","294"
"New York","New York","Denver","JetBlue Airways","7184"
"Orlando","Florida","Denver","United Air Lines Inc.","16522"
"Seattle","Washington","Colorado Springs","SkyWest Airlines Inc.","1053"
"Atlanta","Georgia","Denver","United Air Lines Inc.","8980"
"Spokane","Washington","Denver","SkyWest Airlines Inc.","187"
"Houston","Texas","Colorado Springs","Republic Airlines","670"
"Fresno","California","Grand Junction","Federal Express Corporation","0"
"Raleigh/Durham","North Carolina","Denver","Frontier Airlines Inc.","4179"
"Raleigh/Durham","North Carolina","Denver","United Air Lines Inc.","8307"
"Kansas City","Missouri","Denver","GoJet Airlines LLC d/b/a United Express","3687"
"Cincinnati","Kentucky","Denver","Allegiant Air","1874"
"Austin","Texas","Denver","Frontier Airlines Inc.","6530"
"Columbus","Ohio","Denver","SkyWest Airlines Inc.","724"
"Midland/Odessa","Texas","Denver","SkyWest Airlines Inc.","1585"
"Salina","Kansas","Denver","Great Lakes Airlines","852"
"Albuquerque","New Mexico","Denver","Trans States Airlines","1561"
"Columbus","Ohio","Denver","Jet Aviation Flight Services, Inc.","0"
"Branson","Missouri","Denver","Via Airlines d/b/a Charter Air Transport","308"
"Los Angeles","California","Colorado Springs","Frontier Airlines Inc.","1401"
"Chicago","Illinois","Colorado Springs","Frontier Airlines Inc.","2392"
"Houston","Texas","Denver","United Air Lines Inc.","45152"
"Indianapolis","Indiana","Denver","Frontier Airlines Inc.","5130"
"Nashville","Tennessee","Denver","SkyWest Airlines Inc.","3451"
"Williston","North Dakota","Denver","SkyWest Airlines Inc.","857"
"McCook","Nebraska","Denver","Boutique Air","242"
"Salt Lake City","Utah","Colorado Springs","American Airlines Inc.","133"
"Cleveland","Ohio","Denver","United Air Lines Inc.","12711"
"Liberal","Kansas","Denver","Peninsula Airways Inc.","158"
"Spokane","Washington","Denver","Southwest Airlines Co.","8643"
"Kansas City","Missouri","Denver","United Air Lines Inc.","4328"
"Salt Lake City","Utah","Colorado Springs","SkyWest Airlines Inc.","2470"
"Little Rock","Arkansas","Denver","SkyWest Airlines Inc.","3755"
"Richmond","Virginia","Denver","SkyWest Airlines Inc.","480"
"Kalispell","Montana","Denver","SkyWest Airlines Inc.","899"
"Pittsburgh","Pennsylvania","Denver","United Air Lines Inc.","8684"
"Cincinnati","Kentucky","Denver","Frontier Airlines Inc.","9604"
"Detroit","Michigan","Denver","Spirit Air Lines","4613"
"Williston","North Dakota","Denver","Trans States Airlines","2374"
"Charlotte","North Carolina","Denver","United Air Lines Inc.","6903"
"Wendover","Utah","Grand Junction","Swift Air, LLC","138"
"Phoenix","Arizona","Grand Junction","SkyWest Airlines Inc.","3196"
"Philadelphia","Pennsylvania","Denver","United Air Lines Inc.","8101"
"Dallas/Fort Worth","Texas","Montrose/Delta","Envoy Air","44"
"Memphis","Tennessee","Colorado Springs","Federal Express Corporation","0"
"Oklahoma City","Oklahoma","Denver","United Air Lines Inc.","6086"
"San Antonio","Texas","Denver","United Air Lines Inc.","7534"
"Little Rock","Arkansas","Denver","Trans States Airlines","708"
"New Orleans","Louisiana","Denver","Southwest Airlines Co.","8198"
"Memphis","Tennessee","Denver","Frontier Airlines Inc.","6482"
"Phoenix","Arizona","Durango","SkyWest Airlines Inc.","3310"
"Milwaukee","Wisconsin","Denver","Frontier Airlines Inc.","4840"
"Washington","Virginia","Denver","United Air Lines Inc.","41644"
"Alliance","Nebraska","Denver","Boutique Air","348"
"Oklahoma City","Oklahoma","Denver","GoJet Airlines LLC d/b/a United Express","1519"
"San Antonio","Texas","Denver","GoJet Airlines LLC d/b/a United Express","761"
"Atlanta","Georgia","Denver","Southwest Airlines Co.","21906"
"Missoula","Montana","Colorado Springs","SkyWest Airlines Inc.","0"
"Albuquerque","New Mexico","Denver","SkyWest Airlines Inc.","2037"
"St. George","Utah","Denver","SkyWest Airlines Inc.","2615"
"Orlando","Florida","Denver","Southwest Airlines Co.","18045"
"Dallas","Texas","Colorado Springs","Southwest Airlines Co.","141"
"Salt Lake City","Utah","Aspen","SkyWest Airlines Inc.","1004"
"Missoula","Montana","Denver","Trans States Airlines","2414"
"El Paso","Texas","Denver","SkyWest Airlines Inc.","3534"
"Lincoln","Nebraska","Denver","Trans States Airlines","1542"
"Des Moines","Iowa","Denver","SkyWest Airlines Inc.","2353"
"Los Angeles","California","Denver","Frontier Airlines Inc.","9957"
"Chicago","Illinois","Denver","Frontier Airlines Inc.","9912"
"Knoxville","Tennessee","Denver","Trans States Airlines","1009"
"Atlanta","Georgia","Denver","Republic Airlines","459"
"Newark","New Jersey","Denver","United Air Lines Inc.","36084"
"Lihue","Hawaii","Denver","United Air Lines Inc.","642"
"Tampa","Florida","Denver","Southwest Airlines Co.","14743"
"Grand Rapids","Michigan","Denver","SkyWest Airlines Inc.","2369"
"Dayton","Ohio","Denver","SkyWest Airlines Inc.","1309"
"Scottsbluff","Nebraska","Denver","Trans States Airlines","49"
"Boise","Idaho","Denver","SkyWest Airlines Inc.","3678"
"Cincinnati","Kentucky","Denver","Endeavor Air Inc.","143"
"Salt Lake City","Utah","Denver","SkyWest Airlines Inc.","11792"
"Norfolk","Virginia","Denver","Southwest Airlines Co.","1050"
"Tucson","Arizona","Denver","Southwest Airlines Co.","8305"
"Detroit","Michigan","Denver","Southwest Airlines Co.","8237"
"Indianapolis","Indiana","Denver","Federal Express Corporation","0"
"Long Beach","California","Denver","JetBlue Airways","146"
"New Orleans","Louisiana","Denver","Republic Airlines","197"
"Seattle","Washington","Denver","Southwest Airlines Co.","18827"
"Santa Barbara","California","Denver","SkyWest Airlines Inc.","2137"
"Cedar Rapids/Iowa City","Iowa","Denver","Frontier Airlines Inc.","2684"
"Santa Ana","California","Denver","SkyWest Airlines Inc.","67"
"Rapid City","South Dakota","Denver","SkyWest Airlines Inc.","2548"
"Farmington","New Mexico","Denver","Great Lakes Airlines","381"
"San Francisco","California","Denver","United Air Lines Inc.","53591"
"Eugene","Oregon","Denver","United Air Lines Inc.","3167"
"Jamestown","North Dakota","Denver","SkyWest Airlines Inc.","1002"
"San Diego","California","Denver","Frontier Airlines Inc.","15845"
"Portland","Oregon","Denver","Frontier Airlines Inc.","13235"
"Minneapolis","Minnesota","Denver","United Air Lines Inc.","13165"
"Cincinnati","Kentucky","Denver","Delta Air Lines Inc.","2486"
"Rockford","Illinois","Denver","United Parcel Service","0"
"Chadron","Nebraska","Denver","Boutique Air","321"
"Phoenix","Arizona","Denver","Southwest Airlines Co.","40144"
"Bozeman","Montana","Denver","Frontier Airlines Inc.","1648"
"North Platte","Nebraska","Denver","Peninsula Airways Inc.","422"
"Rapid City","South Dakota","Denver","Trans States Airlines","2700"
"Jacksonville","Florida","Denver","Southwest Airlines Co.","4198"
"Memphis","Tennessee","Denver","Federal Express Corporation","0"
"Minneapolis","Minnesota","Denver","Sun Country Airlines d/b/a MN Airlines","3635"
"Oakland","California","Colorado Springs","Miami Air International","27"
"Boston","Massachusetts","Denver","United Air Lines Inc.","18770"
"Missoula","Montana","Denver","SkyWest Airlines Inc.","1925"
"El Paso","Texas","Denver","Trans States Airlines","1612"
"Lincoln","Nebraska","Denver","SkyWest Airlines Inc.","2255"
"Hartford","Connecticut","Denver","Southwest Airlines Co.","4948"
"Des Moines","Iowa","Denver","Trans States Airlines","677"
"St. Louis","Missouri","Denver","Frontier Airlines Inc.","10300"
"St. George","Utah","Colorado Springs","SkyWest Airlines Inc.","45"
"Dallas","Texas","Denver","Southwest Airlines Co.","27505"
"Dallas/Fort Worth","Texas","Denver","Spirit Air Lines","4925"
"Dickinson","North Dakota","Denver","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","35"
"Riverton/Lander","Wyoming","Denver","Great Lakes Airlines","351"
"Grand Rapids","Michigan","Denver","Trans States Airlines","43"
"Hays","Kansas","Denver","SkyWest Airlines Inc.","787"
"Minneapolis","Minnesota","Denver","GoJet Airlines LLC d/b/a United Express","390"
"Sacramento","California","Denver","United Air Lines Inc.","11360"
"Fort Myers","Florida","Denver","Southwest Airlines Co.","171"
"Omaha","Nebraska","Denver","SkyWest Airlines Inc.","2000"
"Ontario","California","Denver","SkyWest Airlines Inc.","147"
"Bismarck/Mandan","North Dakota","Denver","Frontier Airlines Inc.","3289"
"Dallas/Fort Worth","Texas","Denver","Republic Airlines","198"
"Tulsa","Oklahoma","Denver","Swift Air, LLC","20"
"Wichita","Kansas","Denver","Trans States Airlines","158"
"Newark","New Jersey","Denver","Southwest Airlines Co.","10855"
"San Diego","California","Denver","SkyWest Airlines Inc.","214"
"Tampa","Florida","Denver","United Air Lines Inc.","9360"
"Scottsbluff","Nebraska","Denver","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","20"
"Las Vegas","Nevada","Colorado Springs","Frontier Airlines Inc.","3157"
"Albany","New York","Denver","Southwest Airlines Co.","3953"
"Santa Ana","California","Denver","Frontier Airlines Inc.","10031"
"Cedar Rapids/Iowa City","Iowa","Denver","SkyWest Airlines Inc.","596"
"Albuquerque","New Mexico","Alamosa","Boutique Air","114"
"San Jose","California","Denver","SkyWest Airlines Inc.","3231"
"Moline","Illinois","Denver","SkyWest Airlines Inc.","501"
"Burbank","California","Denver","SkyWest Airlines Inc.","2591"
"Salt Lake City","Utah","Denver","Frontier Airlines Inc.","14922"
"Vernal","Utah","Denver","Boutique Air","356"
"Bismarck/Mandan","North Dakota","Denver","Trans States Airlines","2544"
"Los Angeles","California","Denver","American Airlines Inc.","14487"
"Oklahoma City","Oklahoma","Denver","Republic Airlines","137"
"Chicago","Illinois","Denver","American Airlines Inc.","23260"
"San Antonio","Texas","Denver","Republic Airlines","192"
"Detroit","Michigan","Denver","United Air Lines Inc.","8728"
"Seattle","Washington","Denver","United Air Lines Inc.","20764"
"Pasco/Kennewick/Richland","Washington","Denver","SkyWest Airlines Inc.","2554"
"St. Louis","Missouri","Eagle","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","38"
"San Luis Obispo","California","Denver","SkyWest Airlines Inc.","996"
"Tucson","Arizona","Denver","United Air Lines Inc.","847"
"Minot","North Dakota","Denver","SkyWest Airlines Inc.","2161"
"Los Angeles","California","Denver","SkyWest Airlines Inc.","9952"
"Chicago","Illinois","Denver","SkyWest Airlines Inc.","0"
"Cincinnati","Kentucky","Denver","Southern Air Inc.","0"
"Des Moines","Iowa","Denver","Frontier Airlines Inc.","4628"
"St. Louis","Missouri","Denver","Trans States Airlines","2129"
"Bend/Redmond","Oregon","Denver","SkyWest Airlines Inc.","3147"
"Las Vegas","Nevada","Colorado Springs","Allegiant Air","1272"
"San Francisco","California","Denver","Southwest Airlines Co.","18779"
"Bismarck/Mandan","North Dakota","Denver","SkyWest Airlines Inc.","1568"
"Kansas City","Missouri","Denver","Republic Airlines","1144"
"Omaha","Nebraska","Denver","Frontier Airlines Inc.","4940"
"Jackson","Wyoming","Denver","GoJet Airlines LLC d/b/a United Express","2522"
"Minneapolis","Minnesota","Denver","Southwest Airlines Co.","19268"
"Boston","Massachusetts","Denver","Southwest Airlines Co.","12509"
"Gadsden","Alabama","Pueblo","USA Jet Airlines Inc.","0"
"Knoxville","Tennessee","Denver","Frontier Airlines Inc.","2442"
